seq_id	superkingdom	kingdom	superphylum	phylum	subphylum	superclass	class	subclass	superorder	order	suborder	superfamily	family	subfamily	genus	subgenus	species 
b27936	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27937	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27938	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27943	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27944	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27975	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27976	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27977	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27980	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27981	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b27982	Bacteria	-	-	Cyanobacteria	-	-	-	Oscillatoriophycideae	-	Chroococcales	-	-	Aphanothecaceae	-	Crocosphaera	-	Crocosphaera watsonii
b15298	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter turicensis
b17586	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter sakazakii
b20862	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter sakazakii
b21948	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter dublinensis
b21949	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter condimenti
b21956	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter sakazakii
b29092	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter sakazakii
b32123	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter malonaticus
b32149	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter dublinensis
b32155	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter malonaticus
b32157	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter turicensis
b32462	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter muytjensii
b32809	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter turicensis
b32810	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter malonaticus
b34323	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter malonaticus
b35003	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Enterobacterales	-	-	Enterobacteriaceae	-	Cronobacter	-	Cronobacter condimenti
b29811	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Pseudonocardiales	-	-	Pseudonocardiaceae	-	Crossiella	-	Crossiella equi
b30203	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium levicorallinum
b30418	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium flavum
b30419	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium psychrotolerans
b30433	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium luteum
b32974	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium arcticum
b35043	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium psychrophilum
b35079	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium mesophilum
b35703	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium soli
b35819	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium breve
b35820	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Cryobacterium	-	Cryobacterium ruanii
b13689	Bacteria	-	-	Actinobacteria	-	-	Coriobacteriia	-	-	Eggerthellales	-	-	Eggerthellaceae	-	Cryptobacterium	-	Cryptobacterium curtum
b5732	Eukaryota	Fungi	-	Basidiomycota	Agaricomycotina	-	Tremellomycetes	-	-	Tremellales	-	-	Cryptococcaceae	-	Cryptococcus	-	Cryptococcus neoformans
b18523	Eukaryota	Fungi	-	Basidiomycota	Agaricomycotina	-	Tremellomycetes	-	-	Tremellales	-	-	Cryptococcaceae	-	Cryptococcus	-	Cryptococcus gattii VGI
b15944	Eukaryota	-	-	-	-	-	Cryptophyceae	-	-	Cryptomonadales	-	-	Cryptomonadaceae	-	Cryptomonas	-	Cryptomonas paramecium
b18919	Eukaryota	-	-	-	-	-	Cryptophyceae	-	-	Cryptomonadales	-	-	Cryptomonadaceae	-	Cryptomonas	-	Cryptomonas paramecium
b30600	Eukaryota	-	-	-	-	-	Cryptophyceae	-	-	Cryptomonadales	-	-	Cryptomonadaceae	-	Cryptomonas	-	Cryptomonas curvata
b35821	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Cryptosporangiales	-	-	Cryptosporangiaceae	-	Cryptosporangium	-	Cryptosporangium phraense
b35822	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Cryptosporangiales	-	-	Cryptosporangiaceae	-	Cryptosporangium	-	Cryptosporangium phraense
b35823	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Cryptosporangiales	-	-	Cryptosporangiaceae	-	Cryptosporangium	-	Cryptosporangium phraense
b197	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium parvum
b4342	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium parvum
b7512	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium parvum
b7577	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium hominis
b9580	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium suis
b9581	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium parvum
b9582	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium baileyi
b9583	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium baileyi
b9584	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium baileyi
b9585	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium meleagridis
b12617	Eukaryota	-	-	Apicomplexa	-	-	Conoidasida	Coccidia	-	Eucoccidiorida	Eimeriorina	-	Cryptosporidiidae	-	Cryptosporidium	-	Cryptosporidium muris
b31503	Eukaryota	Metazoa	-	Arthropoda	Hexapoda	-	Insecta	Pterygota	-	Blattodea	-	Blattoidea	Kalotermitidae	Cryptotermitinae	Cryptotermes	-	Cryptotermes secundus
b18404	Eukaryota	Metazoa	-	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Cypriniphysae	Cypriniformes	Cyprinoidei	-	Xenocyprididae	Xenocypridinae	Ctenopharyngodon	-	Ctenopharyngodon idella
b23271	Eukaryota	Viridiplantae	-	Streptophyta	Streptophytina	-	Magnoliopsida	-	-	Cucurbitales	-	-	Cucurbitaceae	-	Cucumis	-	Cucumis sativus
b23272	Eukaryota	Viridiplantae	-	Streptophyta	Streptophytina	-	Magnoliopsida	-	-	Cucurbitales	-	-	Cucurbitaceae	-	Cucumis	-	Cucumis sativus
b178	Eukaryota	Metazoa	-	Arthropoda	Hexapoda	-	Insecta	Pterygota	-	Diptera	Nematocera	Chironomoidea	Ceratopogonidae	Ceratopogoninae	Culicoides	Monoculicoides	Culicoides variipennis
b35824	Bacteria	-	-	Firmicutes	-	-	Culicoidibacteria	-	-	Culicoidibacterales	-	-	Culicoidibacteraceae	-	Culicoidibacter	-	Culicoidibacter larvae
b35825	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Geodermatophilales	-	-	Geodermatophilaceae	-	Cumulibacter	-	Cumulibacter soli
b35826	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Geodermatophilales	-	-	Geodermatophilaceae	-	Cumulibacter	-	Cumulibacter soli
b35198	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Lachnospiraceae	-	Cuneatibacter	-	Cuneatibacter caecimuris
b5048	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus necator
b5715	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus metallidurans
b7654	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus necator
b9144	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus metallidurans
b9355	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus necator
b9356	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus necator
b10251	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus necator
b12458	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus taiwanensis
b19265	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus necator
b21602	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus necator
b26292	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus taiwanensis
b26404	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus basilensis
b27286	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus basilensis
b30421	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus alkaliphilus
b32548	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus alkaliphilus
b33057	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus alkaliphilus
b33070	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus metallidurans
b35827	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Burkholderiaceae	-	Cupriavidus	-	Cupriavidus agavae
b505	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Curtobacterium	-	Curtobacterium flaccumfaciens
b26961	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Curtobacterium	-	Curtobacterium flaccumfaciens
b30900	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Microbacteriaceae	-	Curtobacterium	-	Curtobacterium pusillum
b26882	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Comamonadaceae	-	Curvibacter	-	Curvibacter lanceolatus
b32024	Bacteria	-	-	Cyanobacteria	-	-	-	-	-	Nostocales	-	-	Aphanizomenonaceae	-	Cuspidothrix	-	Cuspidothrix issatschenkoi
b32025	Bacteria	-	-	Cyanobacteria	-	-	-	-	-	Nostocales	-	-	Aphanizomenonaceae	-	Cuspidothrix	-	Cuspidothrix issatschenkoi
b315	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b810	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium granulosum
b5848	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b5849	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b12706	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b12707	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b15941	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b16481	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b16482	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b16484	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b16485	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18241	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18242	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18243	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18244	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18245	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18246	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18247	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18248	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18249	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18250	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18251	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18252	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18253	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18254	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18255	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18256	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18257	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18258	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18259	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18260	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18261	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18262	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18263	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18264	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18265	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18266	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18306	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18307	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18308	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18309	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18310	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18311	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18312	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18313	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18314	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18315	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18316	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18317	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18318	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18319	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18320	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18321	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18322	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18323	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18324	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18325	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18326	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18327	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18328	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18329	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18330	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18331	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18332	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18333	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18334	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18335	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18336	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
b18337	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Cutibacterium	-	Cutibacterium acnes
